DataHora,Pressao_HX710B,Temperatura,VibX,VibY,VibZ,FimCurso,Velocidade
2025-09-18 08:06:40,4.239,21.44,-0.14,0.05,0.96,0,0.05
2025-09-18 08:06:43,4.239,21.44,-0.14,0.05,0.95,0,0.05
2025-09-18 08:06:45,4.239,21.38,-0.14,0.1,0.95,0,0.05
2025-09-18 08:06:47,4.239,21.44,-0.13,0.03,0.95,0,0.05
2025-09-18 08:06:49,4.239,21.44,-0.14,0.04,0.96,0,0.05
2025-09-18 08:06:51,4.239,21.44,-0.14,0.06,0.96,0,0.05
2025-09-18 08:06:53,4.239,21.44,-0.14,0.05,0.95,0,0.05
2025-09-18 08:06:55,4.239,21.44,-0.14,0.08,0.93,1,0.014
2025-09-18 08:06:57,4.239,21.44,-0.14,0.05,0.95,0,0.014
2025-09-18 08:06:59,4.239,21.44,-0.14,0.05,0.95,0,0.014
2025-09-18 08:07:02,4.239,21.44,-0.14,0.06,0.95,1,0.05
2025-09-18 08:07:04,4.239,21.44,-0.14,0.07,0.95,0,0.05
2025-09-18 08:07:06,4.239,21.44,-0.14,0.05,0.95,0,0.05
2025-09-18 08:07:08,4.239,21.44,-0.14,0.05,0.95,1,0.05
2025-09-18 08:07:10,4.239,21.44,-0.17,0.04,0.95,0,0.05
2025-09-18 08:07:12,4.239,21.44,-0.13,0.05,0.95,0,0.05
2025-09-18 08:07:14,4.239,21.44,-0.14,0.04,0.96,1,0.05
2025-09-18 08:07:16,4.239,21.44,-0.14,0.05,0.96,0,0.05
2025-09-18 08:07:18,4.239,21.44,-0.14,0.05,0.95,0,0.05
2025-09-18 08:07:21,4.239,21.44,-0.14,0.05,0.95,0,0.05
